TimeStamp,Date,Time,SQF,Main,Description,Temperature,Humidity,Clouds,Rain,Wind Speed
1.60583E+12,20,05:20:22,149,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,05:20:40,149,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,05:24:35,148,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,05:26:39,150,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,05:26:40,150,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,05:28:54,149,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,05:30:40,149,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,05:33:06,148,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,05:34:40,148,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,05:37:16,149,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,05:38:40,149,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,05:40:40,149,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,05:42:40,149,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,05:44:40,149,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,05:46:40,149,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,05:49:49,148,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,05:51:54,149,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,05:52:40,149,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,05:56:06,148,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,05:58:11,147,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,06:00:16,149,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,06:00:40,149,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,06:04:27,148,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,06:06:33,149,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,06:08:38,148,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,06:08:40,148,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,06:10:40,148,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,06:12:40,148,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,06:14:40,148,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,06:16:40,148,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,06:19:25,147,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,06:21:40,148,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,06:23:46,147,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,06:24:40,147,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,06:27:58,148,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,06:30:02,149,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,06:32:08,148,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,06:34:13,149,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,06:36:19,147,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,06:38:24,148,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,06:38:40,148,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,06:40:40,148,Smoke,smoke,22.12,40,0,No Rain,3.1
1.60583E+12,20,06:42:40,148,Smoke,smoke,22.12,40,0,No Rain,3.1
